,Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Distance X,Distance Y,Distance Z
96,Away,PASS,,1,7203,288.12,7266,290.64,Player18,Player21,0.13,0.01,0.2,0.11,0.07,0.1,0.12206555615733704
97,Away,PASS,,1,7266,290.64,7290,291.6,Player21,Player18,0.2,0.11,0.18,0.04,0.020000000000000018,0.07,0.0728010988928052
98,Away,PASS,,1,7334,293.36,7387,295.48,Player18,Player15,0.24,0.02,0.38,0.08,0.14,0.06,0.15231546211727817
99,Away,PASS,,1,7404,296.16,7427,297.08,Player15,Player23,0.38,0.08,0.25,0.21,0.13,0.13,0.18384776310850237
100,Away,BALL LOST,,1,7465,298.6,7470,298.8,Player23,,0.23,0.26,0.21,0.26,0.020000000000000018,0.0,0.020000000000000018
101,Home,RECOVERY,,1,7472,298.88,7472,298.88,Player3,,0.2,0.29,,,,,
102,Home,BALL LOST,,1,7472,298.88,7518,300.72,Player3,,0.2,0.29,0.26,0.26,0.06,0.02999999999999997,0.06708203932499368
103,Away,RECOVERY,,1,7519,300.76,7519,300.76,Player19,,0.26,0.29,,,,,
104,Away,PASS,,1,7519,300.76,7556,302.24,Player19,Player18,0.26,0.29,0.29,0.07,0.02999999999999997,0.21999999999999997,0.22203603311174516
105,Away,PASS,,1,7603,304.12,7632,305.28,Player18,Player19,0.29,0.07,0.3,0.24,0.010000000000000009,0.16999999999999998,0.170293863659264
106,Away,CHALLENGE,TACKLE-LOST,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,,,
107,Away,BALL LOST,THEFT,1,7698,307.92,7698,307.92,Player19,,0.24,0.22,,,,,
108,Home,CHALLENGE,TACKLE-LOST,1,7699,307.96,7699,307.96,Player8,,0.22,0.17,,,,,
109,Away,RECOVERY,,1,7724,308.96,7724,308.96,Player21,,0.19,0.27,,,,,
110,Away,SHOT,OFF TARGET-OUT,1,7753,310.12,7789,311.56,Player21,,0.2,0.3,-0.04,0.65,0.24000000000000002,0.35000000000000003,0.42438190347845894
111,Home,RECOVERY,,1,8482,339.28,8482,339.28,Player11,,0.04,0.52,,,,,
112,Home,BALL LOST,GOAL KICK-INTERCEPTION,1,8482,339.28,8576,343.04,Player11,,0.04,0.52,0.64,0.38,0.6,0.14,0.6161168720299746
113,Away,CHALLENGE,AERIAL-WON,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,,,
114,Away,RECOVERY,INTERCEPTION,1,8576,343.04,8576,343.04,Player15,,0.62,0.36,,,,,
115,Away,BALL LOST,HEAD,1,8576,343.04,8580,343.2,Player15,,0.62,0.36,0.63,0.36,0.010000000000000009,0.0,0.010000000000000009
116,Home,RECOVERY,,1,8581,343.24,8581,343.24,Player10,,0.6,0.37,,,,,
117,Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,Player10,,0.6,0.37,0.68,0.35,0.08000000000000007,0.020000000000000018,0.08246211251235329
118,Away,RECOVERY,,1,8650,346.0,8650,346.0,Player15,,0.66,0.35,,,,,
119,Away,PASS,HEAD,1,8650,346.0,8686,347.44,Player15,Player16,0.66,0.35,0.75,0.38,0.08999999999999997,0.030000000000000027,0.09486832980505136
120,Away,BALL LOST,,1,8686,347.44,8735,349.4,Player16,,0.75,0.38,0.64,0.28,0.10999999999999999,0.09999999999999998,0.14866068747318503
121,Home,RECOVERY,,1,8734,349.36,8734,349.36,Player8,,0.64,0.23,,,,,
122,Home,BALL OUT,,1,8753,350.12,8843,353.72,Player8,,0.65,0.21,0.74,-0.04,0.08999999999999997,0.25,0.26570660511172844
123,Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,Player18,,,,,,,,
124,Away,PASS,,1,8868,354.72,8892,355.68,Player18,Player19,0.77,-0.01,0.72,0.1,0.050000000000000044,0.11,0.12083045973594574
125,Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,Player19,,0.71,0.11,0.08,0.17,0.63,0.06000000000000001,0.6328506932918696
126,Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,Player3,,0.09,0.14,,,,,
127,Home,BALL OUT,,1,9098,363.92,9127,365.08,Player3,,0.02,0.1,0.05,-0.04,0.030000000000000002,0.14,0.14317821063276354
128,Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,Player23,,,,,,,,
129,Away,PASS,,1,9215,368.6,9255,370.2,Player23,Player18,0.06,0.0,0.22,0.06,0.16,0.06,0.17088007490635063
130,Away,PASS,,1,9306,372.24,9337,373.48,Player18,Player19,0.18,0.11,0.24,0.3,0.06,0.19,0.19924858845171275
131,Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,Player19,,0.24,0.3,0.24,0.39,0.0,0.09000000000000002,0.09000000000000002
132,Home,RECOVERY,INTERCEPTION,1,9354,374.16,9354,374.16,Player6,,0.22,0.36,,,,,
133,Home,PASS,,1,9390,375.6,9442,377.68,Player6,Player10,0.29,0.38,0.55,0.13,0.26000000000000006,0.25,0.36069377593742874
134,Home,PASS,DEEP BALL,1,9599,383.96,9628,385.12,Player10,Player8,0.87,0.29,0.96,0.37,0.08999999999999997,0.08000000000000002,0.12041594578792295
135,Home,SHOT,ON TARGET-SAVED,1,9628,385.12,9632,385.28,Player8,,0.96,0.37,0.98,0.46,0.020000000000000018,0.09000000000000002,0.0921954445729289
136,Away,RECOVERY,SAVED,1,9634,385.36,9634,385.36,Player25,,0.97,0.44,,,,,
137,Away,BALL OUT,,1,9634,385.36,9663,386.52,Player25,,0.97,0.44,1.03,0.33,0.06000000000000005,0.10999999999999999,0.1252996408614167
138,Home,SET PIECE,CORNER KICK,1,10387,415.48,10387,415.48,Player6,,,,,,,,
139,Home,PASS,,1,10387,415.48,10418,416.72,Player6,Player10,0.99,0.01,0.94,0.09,0.050000000000000044,0.08,0.09433981132056607
140,Home,PASS,,1,10453,418.12,10477,419.08,Player10,Player6,0.94,0.09,0.87,0.1,0.06999999999999995,0.010000000000000009,0.07071067811865471
141,Home,PASS,,1,10493,419.72,10527,421.08,Player6,Player5,0.86,0.11,0.78,0.36,0.07999999999999996,0.25,0.26248809496813374
142,Home,PASS,,1,10551,422.04,10599,423.96,Player5,Player7,0.79,0.36,0.74,0.64,0.050000000000000044,0.28,0.28442925306655786
143,Home,BALL LOST,INTERCEPTION,1,10613,424.52,10651,426.04,Player7,,0.75,0.65,0.92,0.46,0.17000000000000004,0.19,0.25495097567963926
144,Away,RECOVERY,INTERCEPTION,1,10653,426.12,10653,426.12,Player15,,0.91,0.47,,,,,
145,Away,BALL LOST,HEAD-INTERCEPTION,1,10653,426.12,10709,428.36,Player15,,0.91,0.47,0.83,0.52,0.08000000000000007,0.050000000000000044,0.09433981132056612
146,Home,CHALLENGE,AERIAL-WON,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,,,
147,Home,RECOVERY,INTERCEPTION,1,10708,428.32,10708,428.32,Player8,,0.83,0.51,,,,,
148,Home,PASS,HEAD,1,10708,428.32,10742,429.68,Player8,Player3,0.83,0.51,0.83,0.54,0.0,0.030000000000000027,0.030000000000000027
149,Away,CHALLENGE,AERIAL-LOST,1,10709,428.36,10709,428.36,Player22,,0.84,0.51,,,,,
150,Home,BALL LOST,HEAD-INTERCEPTION,1,10742,429.68,10761,430.44,Player3,,0.83,0.54,0.87,0.45,0.040000000000000036,0.09000000000000002,0.09848857801796108
151,Away,RECOVERY,INTERCEPTION,1,10761,430.44,10761,430.44,Player15,,0.86,0.47,,,,,
152,Away,BALL LOST,HEAD-FORCED,1,10761,430.44,10801,432.04,Player15,,0.86,0.47,0.78,0.65,0.07999999999999996,0.18000000000000005,0.19697715603592214
153,Home,CHALLENGE,AERIAL-FAULT-LOST,1,10801,432.04,10801,432.04,Player2,,0.76,0.65,,,,,
154,Away,CHALLENGE,AERIAL-FAULT-WON,1,10801,432.04,10801,432.04,Player21,,0.76,0.65,,,,,
155,Away,SET PIECE,FREE KICK,1,11586,463.44,11586,463.44,Player25,,,,,,,,
156,Away,PASS,,1,11586,463.44,11619,464.76,Player25,Player17,0.78,0.55,0.7,0.79,0.08000000000000007,0.24,0.2529822128134704
157,Away,PASS,,1,11674,466.96,11701,468.04,Player17,Player22,0.65,0.83,0.57,0.97,0.08000000000000007,0.14,0.16124515496597105
158,Away,PASS,,1,11727,469.08,11763,470.52,Player22,Player20,0.58,0.94,0.54,0.73,0.039999999999999925,0.20999999999999996,0.21377558326431947
159,Away,PASS,,1,11788,471.52,11812,472.48,Player20,Player19,0.53,0.71,0.5,0.52,0.030000000000000027,0.18999999999999995,0.1923538406167134
160,Away,PASS,,1,11831,473.24,11861,474.44,Player19,Player24,0.5,0.55,0.39,0.4,0.10999999999999999,0.15000000000000002,0.18601075237738277
161,Away,PASS,,1,11882,475.28,11918,476.72,Player24,Player18,0.39,0.41,0.32,0.1,0.07,0.30999999999999994,0.317804971641414
162,Away,BALL LOST,CROSS-INTERCEPTION,1,11987,479.48,12032,481.28,Player18,,0.22,0.12,0.03,0.61,0.19,0.49,0.5255473337388366
